sy_name,hostname,hd_name,hip_name,sy_snum,sy_pnum,sy_mnum,cb_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,sy_refname,ra,dec,glat,glon,sy_dist,sy_vmag,sy_gaiamag,rocky_count,gas_giant_count,ice_giant_count,has_rocky_planet,has_gas_giant,has_ice_giant,has_rocky_planet_in_carbon_zone,has_rocky_planet_in_sulfur_zone,has_rocky_planet_in_silicon_zone,has_gas_planet_in_carbon_zone,has_gas_planet_in_sulfur_zone,has_gas_planet_in_silicon_zone,distance_from_sol_ly,calculated_x,calculated_y,calculated_z,carbon_ranking,sulfur_ranking,silicon_ranking,combined_score,stability_score,stability_symbol,manual_entry,distance_from_origin_ly,origin_hostname
HD 7924,HD 7924,HD 7924,HIP 6379,1.0,3.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K0,5177.0,0.78,0.83,-0.15,[Fe/H],-0.409,4.59,0.88,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.4956562,76.7101475,13.94549,124.73557,16.9922,7.17896,6.92516,0,0,0,0,0,0,0,0,0,0,0,0,55.421079832,11.9335910259652,4.460755684638821,53.936881201010145,0.0,0.0,0.0,0.0,0,circle,0,55.421079832,Sol
HD 86728,HD 86728,HD 86728,HIP 49081,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G1V,5700.0,1.06,0.96,0.2,[Fe/H],0.167,4.4,9.52,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,150.250054,31.9218216,52.85093,195.01832,14.9202,5.37988,5.2094,0,0,0,0,0,0,0,0,0,0,0,0,48.663127511999996,-35.85994733804483,20.495603616549847,25.731194852845277,0.0,0.0,0.0,0.0,0,circle,0,48.663127511999996,Sol
HD 87883,HD 87883,HD 87883,HIP 49699,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K0,4958.0,0.78,0.8,0.07,[Fe/H],-0.456,4.56,9.84,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,152.1794175,34.2419984,54.54018,191.18698,18.2912,7.56,7.27194,0,1,0,0,1,0,0,0,0,0,0,0,59.65784627199999,-43.61683799930004,23.016577861770124,33.56884282023247,0.0,0.0,0.0,0.0,0,circle,0,59.65784627199999,Sol
HD 99492,HD 99492,HD 99492,HIP 55848,2.0,2.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,K2/4,4955.0,0.76,0.83,0.36,[Fe/H],-0.469,4.61,8.6,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,171.689687,3.0071331,58.5071,259.27385,18.2038,7.56727,7.26005,0,2,0,0,1,0,0,0,0,0,0,1,59.372785928,-58.668461981303764,8.56958810025674,3.114713051368935,0.0,0.0,1.0,0.3333333333333333,0,circle,0,59.372785928,Sol
HD 99492,HIP 55846,HD 99491,HIP 55846,2.0,2.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G6/8III/IV,5502.0,0.93,1.0,0.34,[Fe/H],-0.119,4.53,1.88,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,171.6857105,3.0138783,58.50997,259.25991,18.1995,6.48616,6.28815,0,0,0,0,0,0,0,0,0,0,0,0,59.35876122,-58.65364573935219,8.571581555595378,3.120955733637744,0.0,0.0,0.0,0.0,0,circle,0,59.35876122000001,Sol
HIP 77358,HD 140901,HD 140901,HIP 77358,1.0,2.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G6IV,5627.0,0.95,0.99,0.1,[Fe/H],-0.06,4.51,4.16,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,236.8689866,-37.9172333,12.98895,337.16094,15.2528,6.01,5.83135,0,2,0,0,1,0,0,0,0,0,0,0,49.747922368,-21.45016522598963,-32.865587022727816,-30.571218185767552,0.0,0.0,0.0,0.0,0,circle,0,49.747922368,Sol
HN Peg,HN Peg,HD 206860,HIP 107350,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G0V,5974.0,1.04,1.1,-0.02,[Fe/H],0.072,4.48,3.1,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,326.1315705,14.7714524,-28.27039,69.85975,18.1186,5.97707,5.82363,0,0,0,0,0,0,0,0,0,0,0,0,59.094901016,47.44598854249035,-31.84444717854466,15.067072748533207,0.0,0.0,0.0,0.0,0,circle,0,59.094901016,Sol
HR 810,HR 810,HD 17051,HIP 12653,1.0,1.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G0V,6097.0,1.18,1.15,0.11,[Fe/H],0.25,4.38,2.72,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,40.6417178,-50.7993484,-58.32307,268.80649,17.3181,5.4,5.25587,0,1,0,0,1,0,0,0,0,0,1,1,56.484022236,27.089104223046018,23.252405427783227,-43.77157573325285,0.0,1.0,1.0,0.6666666666666666,0,circle,0,56.484022235999994,Sol
TYC 2187-512-1,TYC 2187-512-1,,,1.0,1.0,0.0,0,<a refstr=QUIRRENBACH_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...663A..48Q/abstract target=ref>Quirrenbach et al. 2022</a>,M1.0 V,3734.0,0.495,0.498,0.08,[Fe/H],-1.38091,4.68,,,2.0,40.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,320.5266829,22.9319351,-18.8565,72.54584,15.4744,10.58,9.77026,0,1,0,0,1,0,0,0,0,0,0,0,50.470684064,35.88034492672866,-29.549420282477758,19.665262744153004,0.0,0.0,0.0,0.0,0,circle,0,50.470684064,Sol
alf Cen,alf Cen A,HD 128620,HIP 71683,3.0,2.0,0.0,0,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G2.0V,5801.0,1.25,1.06,0.21,[Fe/H],0.207,4.3,7.84,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,219.9204103,-60.8351471,-0.68433,315.74188,1.347491,-0.01,,0,0,0,0,0,0,0,0,0,0,0,0,4.39492274596,-1.6425877863550185,-1.374411073704708,-3.8377396351956676,0.0,0.0,0.0,0.0,0,circle,0,4.39492274596,Sol
